symbol,date,open,high,low,close,volume
TATASTEEL,2026-08-01,150.0,154.5,149.0,153.2,12500000
TATASTEEL,2026-08-02,153.5,158.0,152.0,157.1,18000000
TATASTEEL,2026-08-03,157.5,165.0,156.0,164.2,35000000
TATASTEEL,2026-08-04,164.0,166.5,161.0,162.5,21000000
TATASTEEL,2026-08-05,162.0,163.0,155.0,156.0,28000000
TATASTEEL,2026-08-06,155.5,157.0,148.0,149.2,39000000
TATASTEEL,2026-08-07,149.0,150.5,142.0,143.0,42000000
RELIANCE,2026-08-01,2900.0,2930.0,2890.0,2920.0,4500000
RELIANCE,2026-08-02,2925.0,2950.0,2910.0,2945.0,5200000
RELIANCE,2026-08-03,2950.0,3010.0,2940.0,3005.0,9800000
RELIANCE,2026-08-04,3000.0,3020.0,2980.0,2990.0,4100000
RELIANCE,2026-08-05,2985.0,2995.0,2920.0,2930.0,7600000
INFY,2026-08-01,1800.0,1820.0,1790.0,1815.0,3200000
INFY,2026-08-02,1815.0,1825.0,1805.0,1810.0,2800000
INFY,2026-08-03,1810.0,1818.0,1800.0,1805.0,2500000
INFY,2026-08-04,1805.0,1860.0,1800.0,1850.0,8900000
